author_id,author_name
297,Dick Hill
298,Alan Garner
299,Jenny Agutter
300,Alex Nikolavitch
301,Margaret Wise Brown
302,Natalie Babbitt
303,Jeff Smith
304,Shannon Messenger
305,Montague Rhodes James
306,Christina Scull
307,Wayne G. Hammond
308,R. A. Macavoy
309,angie sage
310,Angie SAGE
311,R. A. Salvatore
312,John Updike
313,Jim Butcher
314,Soman Chainani
315,Blank
316,Michael
317,Mary Pope Osborne
318,Sal Murdocca
319,Clive Barker
320,Crockett Johnson
321,Pierce Brown
322,Cassandra Clare
323,Roger Zelazny
324,Poul Anderson
325,Geraldine McCaughrean
326,W. Bruce Cameron
327,Joel Rosenberg
328,John Boyne
329,Shannon Hale
330,Marie Corelli
331,Jane Yolen
332,Trudi Canavan
333,Holly Black
334,Orson Scott Card
335,Aisling Fowler
336,Frederick Davidson
337,David Eddings
338,Katherine Applegate
339,Sandra Burr
340,Rocío Monasterio
341,Marcela Brovelli
342,Grace Lin
343,Janet Song
344,Luis Royo
345,村上春樹
346,Daisy Meadows
347,Georgie Ripper
348,Hachette Children's Books Staff
349,Hachette Children's Group
350,Hiro Mashima
351,Clamp
352,Chris Van Allsburg
353,Michelle Paver
354,Patricia Anton De Vez Ayala-Duarte
355,Stephanie Garber
356,William Nicholson
357,Octavia E. Butler
358,Aldrich Barrett
359,Robert Graves
360,Bryan J.L. Glass
361,Michael Avon Oeming
362,Bryan J. L. Glass
363,Brett Booth
364,Ryan Stegman
365,André Maurois
366,Jill Dembowski
367,Mark Powers
368,Chase Conley
369,Tyler Walpole
370,James Marsters
371,Arnaud Mousnier-Lompré
372,H. Rider Haggard
373,Tomi Adeyemi
374,China Miéville
375,Kristin Cashore
376,Patricia A. McKillip
377,V. E. Schwab
378,Julieta María Gorlero
379,Laini Taylor
380,Kelly Regan Barnhill
381,Isabel Murillo
382,Michaela Helms
383,Tracey Leigh
384,Nisi Shawl
385,Philippe Rouard
386,G. P. Taylor
387,Lois McMaster Bujold
388,Richard Yancey
389,Tad Williams
390,Eleanor Gates
391,高田 裕三
392,Christopher Lewis
393,Toren Smith
394,Lea Hernandez
395,Patora Fuyuhara
396,Steve Coulter
397,D. J. MacHale
398,Margaret Peterson Haddix
399,Elisabeth Beresford
400,Nick Price
401,Charles Busch
402,Victoria Aveyard
403,Robert Asprin
404,John Brunner
405,Lynn Abbey
406,Andrew Offutt
407,Joe Haldeman
408,Christine DeWees
409,Philip José Farmer
410,Dean Hale
411,MacLeod Andrews
412,Robert Lawrence Stine
413,Kazu Kibuishi
414,Connie Willis
415,J. R. Ward
416,Jack Vance
417,Robert Silverberg
418,Frank Miller
419,David Mazzucchelli
420,Lynn Varley
421,C. J. Cherryh
422,Betty MacDonald
423,Jerry Siegel
424,Don Cameron
425,Joe Shuster
426,Anthony Browne
427,Antony Browne
428,Joe Abercrombie
429,Jeremy Arthur
430,Harry Harrison
431,Dean Koontz
432,Ediciones Lariviere
433,Rosemary Sutcliff
434,Alexander Key
435,Willis Hall
436,Babette Cole
437,Hervé Zitvogel
438,Philip Kerr
439,Bruce Coville
440,Scott Lynch
441,Elisabetta Dami
442,David Nel·lo
443,Larry Keys
444,Titi Plumederat
445,Koldo Biguri
446,Adam Rex
447,Owen Richardson
448,Jonathan Davis
449,Anne Rice
450,Christianna Brand
451,John Bellairs
452,Caitlin Kelly
453,LitJoy Crate
454,Gurney
455,James Gurney
456,Katharine Kerr
457,Rudolph Erich Raspe
458,John Crowley
459,Mary Rodgers
460,Elizabeth Dawson Baker
461,Emily Durante
462,Jeff VanderMeer
463,Virginia Hamilton
464,Patricia C. Wrede
465,Ian Fleming
466,David Baldacci
467,Elizabeth Winthrop
468,Kiera Cass
469,Dave Barry
470,Ridley Pearson
471,Carlos Loscertales
472,Keith Thompson
473,Peter Joyce
474,Isabelle Pernot
475,Diane Duane
476,Ira Levin
477,P. C. Cast
478,Kristin Cast
479,Bernard Cornwell
480,Brandon Mull
481,Teacher's Guide
482,Karen Anderson
483,N. K. Jemisin
484,Julian May
485,Andre Alice Norton
486,Tim Powers
487,Elaine Joseph
488,Ryo Mizuno
489,Masato Natsumoto
490,Michael Bond
491,R. W. Alley
492,Robert W. Alley
493,Tatjana Kröll
494,Therese Plummer
495,J. V. Jones
496,Ivain Rodriguez de Léon
497,Sam Youd
498,Joe Burleson
499,John Foster
500,Anthea Bell
501,Xanthe Elbrick
502,Sarah Mlynowski
503,Lauren Myracle
504,Emily Jenkins
505,Sabaa Tahir
506,P Wrede
507,Kai Meyer
508,Tim Seeley
509,Val Semeiks
510,Richard Aspel
511,Nancy Springer
512,Wayne McLoughlin
513,Megan Whalen Turner
514,Greg Bear
515,Peggy Fortnum
516,Klaus Theweleit
517,Gerry Conway
518,J.M. DeMatteis
519,David Michelinie
520,Ross Andru
521,Sal Buscema
522,Todd McFarlane
523,Victoria Hanley
524,Norman Lindsay
525,Margaret McAllister
526,Pat O'Shea
527,Andrea J. Buchanan
528,Nora Inés Escoms
529,Margaret Mahy
530,Steven Kellogg
531,Stephen Kellogg
532,Sheri S. Tepper
533,Emmi Itäranta
534,Charlie Fletcher
535,William Faulkner
536,Lectorum Publications
537,Chris Columbus
538,Manuel Mata
539,Kim Harrison
540,Janny Wurts
541,Meredith Ann Pierce
542,Lionel Wigram
543,Oliver Latsch
544,Andrew Merkin
545,Isabelle Leymarie
546,Victor Appleton
547,Nancy Yi Fan
548,Julia L. Sauer
549,Carl Sandburg
550,Laura Lee Hope
551,Ransom Riggs
552,Vernor Vinge
553,James Frenkel
554,Kelley Armstrong
555,Andy Dixon
556,Felicity Brooks
557,Robert C. O'Brien
558,Patricia Briggs
559,Robert McCloskey
560,Laurell K. Hamilton
561,Lisa Jane Smith
562,Edith Thacher Hurd
563,Jeanette Winterson
564,Nina Jaffe
565,Nancy Rose
566,DEREK LANDY
567,Caroline Stevermer
568,Mercer Mayer
569,Samuel R. Delany
570,Jan Siegel
571,Adam Blade
572,James A. Owen
573,Penelope Farmer
574,Amy Krouse Rosenthal
575,Brigette Barrager
576,Helene Pilotto
577,Tracey West
578,Marissa Meyer
579,Marie Lu
580,Peter Dickinson
581,Johnathan Stroud
582,Lynsay Sands
583,Kevin J. Anderson
584,Steph Swainston
585,Elizabeth Enright
586,Lyssa Browne (narrator)
587,Gene Wolfe
588,Emily Rodda
589,Jacqueline Carey
590,Anne T. Flosnik
591,Roger Hargreaves
592,Sam Kieth
593,William Messner-Loebs
594,William Steig
595,A. E. van Vogt
596,Peter V. Brett
597,Mercedes Lackey
598,Cinda Williams Chima
599,Eric Linklater
600,Julia Donaldson
601,R. F. Kuang
602,R F Kuang
603,Emily Woo Zeller
604,Linda Chapman
605,Jane Gaskell
606,T. A. Barron
607,BookSource Staff
608,Diana L. Paxson
609,Barbara Wood
610,Toni L. P. Kelner
611,Jeanne C. Stein
612,Tanya Huff
613,Tate Hallaway
614,Elaine Viets
615,Christopher Golden
616,Bill Crider
617,P. N. Elrod
618,Rachel Caine
619,Carolyn Haines
620,Julia Fletcher
621,Sean Williams
622,Kelly Link
623,Mechthild Gläser
624,S-M Stirling
625,P. W. Storm
626,Frances Hodgson Burnett
627,Richard Jefferies
628,Mark Oshiro
629,James Thurber
630,Marc Simont
631,Joan Eloi Roca Martínez
632,Marlon James
633,JAMES  MARLON
634,Andrew Peterson
635,R. A. Montgomery
636,Mark Dunn
637,L. Sprague De Camp
638,Tom Holt
639,David A. Gemmell
640,Chris Wooding
641,W. Heath Robinson
642,Michael Coren
643,Avi
644,Leonid Gore
645,Joann Sfar
646,Lewis Trondheim
647,Kerascoet
648,Keri Arthur
649,Leslye Walton
650,Lana Krumwiede
651,Jane Langton
652,Erik Blegvad
653,Mineko Ōkami
654,Serena Valentino
655,Naifeh
656,John Gebbia
657,Breehn Burns
658,Harley Sparx
659,Jack Dann
660,Gardner R. Dozois
661,Cecelia Holland
662,Naomi Novik
663,Kage Baker
664,Adam Stemple
665,Liz Williams
666,Peter S. Beagle
667,Samuel Sykes
668,Harry Turtledove
669,Tanith Lee
670,Mary Rosenblum
671,Andy Duncan
672,Gardner Dozois Jack Dann
673,Melissa Albert
674,Phil Gigante
675,Amelia Atwater-Rhodes
676,Joan Lingard
677,Natasha Ngan
678,Thea Guanzon
679,Jim Starlin
680,Jim Aparo
681,Mike DeCarlo
682,Bill Wray
683,Annette Tison
684,Talus Taylor
685,Elizabeth Knox
686,Alison Goodman
687,Adam Jay Epstein
688,Andrew Jacobson
689,Allen Douglas
690,Kathleen Mcinerney
691,Jenny Davidson
692,Sholto Walker
693,Mario Acevedo
694,Charles E. Carryl
695,Robinson
696,James.
697,James Robinson
698,Peter Snejbjerg (Illustrator)
699,Tony Harris
700,Jerry Ordway
701,Traber Burns
702,Tish Rabe
703,Chetan Bhagat
704,Alison Croggon
705,Melanie Rawn
706,Stephen R. Donaldson
707,Juliana Horatia Gatty Ewing
708,Bernice Myers
709,Bernard Waber
710,Carol Kendall
711,Fletcher Pratt
712,Eric Litwin
713,James Dean
714,C. L. Wilson
715,Ru Emerson
716,Todd Strasser
717,Fiona Mcintosh
718,George Aichele
719,Tao Wong
720,Saara El-Arifi
721,Vicki Pettersson
722,Rin Chupeco
723,Elizabeth Marie Pope
724,Richard J Cuffari
725,Hayao Miyazaki
726,Amos Tutuola
727,Alex Flinn
728,Stephen Cosgrove
729,Robin James
730,Andre Norton
731,Joy Cowley
732,Murray Grimsdale
733,Shirley Rousseau Murphy
734,Edward Eager
735,Sunyi Dean
736,Lesley Howarth
737,Riccardo Steiner
738,Pat Hutchins
739,Danielle Paige
740,Mollie Hunter
741,Betsy Cromer Byars
742,Colleen Houck
743,Larry Dixon
744,Beatrix Potter
745,Dan Greenburg
746,Kit Whitfield
747,Dean Lorey
748,Zack Loran Clark
749,Marianne Faurobert
750,Michael Moorcock
751,Edward Bellamy
752,Patrick Benson
753,Alison Inches
754,Luke Pearson
755,Maggie Stiefvater
756,Teddy Slater
757,Ruth M. Fuchs
758,Gavin J. Grant
759,M. T. Anderson
760,Gavin J Grant Kelly Link
761,Link
762,Grant Kelly Link
763,Alfred Bester
764,Zoraida Córdova
