author_id,author_name
1,Lewis Carroll
2,L. Frank Baum
3,Robert Louis Stevenson
4,Jonathan Swift
5,Niccolò Machiavelli
6,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll"
7,"Kenneth Grahame, Michael Hague, John Burningham, David Roberts, Oxford Editor, Guo man, Yang Ma, Ernest H. Shepard, Charles Van Sandwyk, Katie Dicker"
8,Edith Nesbit
9,William Shakespeare
10,Arthur Conan Doyle
11,J.R.R. Tolkien
12,George Orwell
13,Carlo Collodi
14,J. M. Barrie
15,Jules Verne
16,George MacDonald
17,Antoine de Saint-Exupéry
18,J. K. Rowling
19,Rudyard Kipling
20,Ruth Plumly Thompson
21,Joseph Conrad
22,Михаил Афанасьевич Булгаков
23,"Kenneth Grahame, Jim Weiss, Ernest H. Shepard, Michael Hague, Kenneth Grahame, Kenneth Kenneth Grahame, Grahame Kenneth"
24,Hugh Lofting
25,William Morris
26,"J. K. Rowling, Jim Kay"
27,Roald Dahl
28,Edgar Rice Burroughs
29,Gabriel Garcia Marquez
30,"William Morris, William Norris, William, Morris, William Morris, William William Morris, WILLIAM MORRIS, Random House"
31,"Charles Kingsley, Charles Kingsley"
32,James Branch Cabell
33,C.S. Lewis
34,E. B. White
35,Philip Pullman
36,"J. K. Rowling, Mary GrandPré"
37,James Hilton
38,Maurice Sendak
39,Sax Rohmer
40,James De Mille
41,Michael Ende
42,Katherine Paterson
43,Suzanne Collins
44,Rick Riordan
45,Richard Adams
46,Stephen King
47,Eoin Colfer
48,Terry Pratchett
49,Stephenie Meyer
50,George R. R. Martin
51,"Dr. Seuss, Simon Mugford"
52,H. G. Wells
53,Brothers Grimm
54,"Neil Gaiman, Neil Gaiman"
55,T. H. White
56,Ursula K. Le Guin
57,"Hans Christian Andersen, Elsa Beskow, Michael Foreman, Michael Morpurgo, Kimberley Reynolds, Catherine Babok, Susannah Mary Paull"
58,Algernon Blackwood
59,"Joseph Jacobs, John D Batten, Gloria Cardew, Joseph JACOBS, Joseph Jacobs, Jacobs, Ed, Joseph, John Dickson Batten, Joseph Joseph Jacobs"
60,"Neil Gaiman, Terry Pratchett"
61,Margaret Cavendish
62,Neil Gaiman
63,Selma Lagerlöf
64,Robert Jordan
65,Anne McCaffrey
66,"Edgar Rice Burroughs, Casper Van Dien, Franke, Henry G., 3rd, Joe Jusko"
67,Charles Perrault
68,"Stephen King, Peter Straub"
69,Norton Juster
70,Douglas Adams
71,Christopher Paolini
72,Ray Bradbury
73,Cornelia Funke
74,"Stephen King, Esther Roig Giménez"
75,"Terry Pratchett, Ernest Riera"
76,Kazuki Takahashi
77,John Kendrick Bangs
78,Susan Cooper
79,P. L. Travers
80,Philippa Pearce
81,"Hans Christian Andersen, Yayoi Kusama, Bernadette Watts"
82,Tove Jansson
83,"Jeff Brown, Jon Mitchell, Tomi Ungerer, Tony Ross"
84,Don Freeman
85,Terry Goodkind
86,Kate DiCamillo
87,"Terry Pratchett, Paul Kidby"
88,Gregory Maguire
89,Patrick Rothfuss
90,"Terry Pratchett, Nigel Planer, Tony Robinson"
91,"Susanna Clarke, Susanna Clarke"
92,Brian Jacques
93,Margaret Atwood
94,"Neil Gaiman, Mónica Faerna, Patrick Marcel, Lluís Delgado, Oriol Hernández"
95,Ken Akamatsu
96,"Terry Pratchett, Paul Kidby, Terry Pratchett"
97,"Richard Francis Burton, Ernest Henry Griset, Isabel Lady Burton, Ernest Griset"
98,Enid Blyton
99,Ruth Stiles Gannett
100,Justin Cronin
101,Lloyd Alexander
102,Joris-Karl Huysmans
103,Diana Gabaldon
104,"Leo Lionni, Xosé Manuel González, Ignasi Centelles"
105,"Terry Pratchett, Javier Calvo Perales"
106,William Hope Hodgson
107,Syd Hoff
108,"Alexander, Lloyd Alexander"
109,Walter De la Mare
110,"Fitch, Janet"
111,John Masefield
112,"Brian Jacques, Brajan Dzhejks, Brian Jacques - undifferentiated"
113,Diana Wynne Jones
114,"Dr. Seuss, Rik Mayall"
115,Garth Nix
116,Eric Rücker Eddison
117,"John Norman, John Norman"
118,Joan Aiken
119,Madeleine L'Engle
120,Brandon Sanderson
121,Isabel Allende
122,Salman Rushdie
123,Joseph A. McCullough
124,A. A. Milne
125,Charlaine Harris
126,Chris Colfer
127,"John Norman, Ralph Lister, John Norman, Bruno Martin"
128,David Mitchell
129,Terry Brooks
130,Erin Hunter
131,Joseph Delaney
132,刘慈欣
133,Jeanne DuPrau
134,A. Merritt
135,"Terry Pratchett, Stephen Briggs"
136,"Mary Stewart, Mary Stwart"
